name,type,guests,cabins,crew,Cabin Configuration,length,Builder,year,Cruising Speed,Beam,Draft,Gross Tonnage,model,Exterior Designer,Interior Design,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description,Owner & Guests
MANU,Open Yachts,8,4,4,"1 Master, 2 Double, 1 Twin",28.04m / 92',Mangusta Mangusta,2006,25 Knots,6.6m / 21'8,1.2m / 3'11,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€49,000 p/week + expenses Approx $56,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€49,000 p/week + expenses Approx $56,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, France,, Italy,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 28.27m/92'9"" open yacht 'Manu' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
ONLY ONE,Open Yachts,8,4,4,"1 Master, 1 Double, 2 Twin",28.27m / 92'9,Mangusta Mangusta,2008 | 2018 (Refitted),27 Knots,6.6m / 21'8,1.74m / 5'9,133 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€48,000 p/week + expenses Approx $55,500","€63,000 p/week + expenses Approx $72,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","€48,000 p/week + expenses Approx $55,500","€63,000 p/week + expenses Approx $72,500","Mediterranean, France,, Italy,, Malta,, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 28.27m/92'9"" open yacht 'Only One' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
ORION I,Open Yachts,9,4,4,"1 Master, 1 Double, 2 Twin",28.27m / 92'9,Mangusta Mangusta,2009,27 Knots,6.6m / 21'8,1.2m / 3'11,133 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€51,000 p/week + expenses Approx $58,000","€51,000 p/week + expenses Approx $58,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€51,000 p/week + expenses Approx $58,000","€51,000 p/week + expenses Approx $58,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 28.27m/92'9"" 'Orion I' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
REVELLA,Open Yachts,8,4,3,,28.27m / 92'9,Mangusta Mangusta,2007,23 Knots,6.6m / 21'8,1.74m / 5'9,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€51,000 p/week + expenses Approx $58,000","€51,000 p/week + expenses Approx $58,000","Mediterranean, France,, Monaco","Corsica, French Riviera","€51,000 p/week + expenses Approx $58,000","€51,000 p/week + expenses Approx $58,000","Mediterranean, France,, Monaco","Corsica, French Riviera","The 28.27m/92'9"" 'Revella' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
SCRATCH,Open Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin, 1 Pullman",28.3m / 92'10,Mangusta Mangusta,2004,27 Knots,6.6m / 21'8,1.74m / 5'9,130 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"$50,000 p/week + expenses","$50,000 p/week + expenses",,"Florida, Miami","$50,000 p/week + expenses","$50,000 p/week + expenses",,"Florida, Miami","The 28.27m/92'9"" open yacht 'Scratch' by the Italian shipyard Mangusta offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Mangusta.",
YOT CAPRI,Open Yachts,8,4,4,,28.27m / 92'9,Mangusta Mangusta,2003 | 2019 (Refitted),25 Knots,6.58m / 21'7,1.74m / 5'9,75 GT,Mangusta 92 Mangusta 92,Stefano Righini,Stefano Righini,"€45,000 p/week + expenses Approx $51,500","€52,000 p/week + expenses Approx $59,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","€45,000 p/week + expenses Approx $51,500","€45,000 p/week + expenses Approx $51,500","Mediterranean, France,, Italy,, Monaco","Calvi, Cannes, Corsica, French Riviera, Ligurian Riviera, Portofino, Sardinia, St Tropez","The 28.27m/92'9"" open yacht 'Yot Capri' by the Italian shipyard Mangusta offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Stefano Righini.",
BALOO III,Open Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",28.09m / 92'2,Pershing Pershing,2019,34 Knots,6.23m / 20'5,1.65m / 5'5,122 GT,Pershing 9X Pershing 9X,Fulvio de Simoni,,"€69,500 p/week + expenses Approx $79,000","€79,500 p/week + expenses Approx $90,500",,"Ibiza, The Balearics","€69,500 p/week + expenses Approx $79,000","€79,500 p/week + expenses Approx $90,500",,,"The 28.14m/92'4"" open yacht 'Baloo III' by the Italian shipyard Pershing offers flexible accommodation for up to 8 guests in 4 cabins.",
DRIFT,Open Yachts,10,5,3,"1 Master, 1 VIP, 1 Twin, 1 Single, 1 Convertible",28m / 91'10,Mangusta Mangusta,2005 | 2023 (Refitted),25 Knots,6.6m / 21'8,1.6m / 5'3,95 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€53,719 p/week + expenses Approx $62,000","€61,984 p/week + expenses Approx $71,500",,"Ibiza, The Balearics",,,,,"Boasting a classically sporty silhouette, and reaching the high-speeds characteristic of a Mangusta, the 28m (93ft) superyacht FIVE STARS (ex NUMBER FIVE) was built in 2005 by Overmarine and last refitted in 2017. A seamless fusion of flawless style and superb function, she really wows guests with her outdoor spaces.",
EL DISPARO,Open Yachts,9,4,4,"1 Master, 1 VIP, 2 Twin, 1 Pullman",28m / 91'10,AB Yachts AB Yachts,2006 | 2016 (Refitted),28 Knots,6.4m / 21',1.6m / 5'3,62 GT,AB 92 AB 92,Angelo Arnaboldi,Guido de Groot Design,"€32,000 p/week + expenses Approx $37,000","€39,000 p/week + expenses Approx $45,000","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey",Mykonos,"€32,000 p/week + expenses Approx $37,000","€39,000 p/week + expenses Approx $45,000","Mediterranean, Croatia,, Greece,, Montenegro,, Turkey",Mykonos,"The 28.5m/93'6"" 'El Disparo' open yacht built by the Italian shipyard AB Yachts is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Dutch designer Guido de Groot Design.",
NEW LIFE,Open Yachts,8,4,4,,28.04m / 92',Lazzara Yachts Lazzara Yachts,2009 | 2019 (Refitted),22 Knots,6.71m / 22',1.83m / 6',84 GT,Lazzara LSX 92 Lazzara LSX 92,Lazzara Yachts,Lazzara Yachts,"$57,000 p/week + expenses","$57,000 p/week + expenses","Caribbean, Bahamas",,"$57,000 p/week + expenses","$57,000 p/week + expenses","Caribbean, Bahamas",,"The 28m/91'10"" open yacht 'New Life' by shipyard Lazzara Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Lazzara Yachts.",
NOVA 92,Open Yachts,8,4,2,"1 Master, 1 VIP, 2 Twin",27.99m / 91'10,Sunseeker Sunseeker,2008 | 2025 (Refitted),24 Knots,6.34m / 20'10,1.98m / 6'6,95 GT,Predator 92 Sport Predator 92 Sport,Sunseeker,Sunseeker,"€65,000 p/week + expenses Approx $76,000","€75,000 p/week + expenses Approx $88,000",,"Ibiza, Mallorca, The Balearics",,,,,"The 28.15m/92'4"" open yacht 'Nova 92' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Sunseeker.",
PEARL,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",28.14m / 92'4,Sunseeker Sunseeker,2005,15 Knots,6.4m / 21',1.83m / 6',96 GT,94 Yacht 94 Yacht,Don Shead Yacht Design,Ken Freivokh,"€45,000 p/week + expenses Approx $51,500","€49,500 p/week + expenses Approx $56,500",,Corsica,"€45,000 p/week + expenses Approx $51,500","€49,500 p/week + expenses Approx $56,500",,Corsica,The 28.65m/94' open yacht 'Pearl ' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Ken Freivokh.,
SMILE,Open Yachts,9,4,3,"1 Master, 2 Double, 1 Twin, 1 Pullman",28.04m / 92',Mangusta Mangusta,2006 | 2024 (Refitted),24 Knots,6.6m / 21'8,1.2m / 3'11,141 GT,Mangusta 92 Mangusta 92,Stefano Righini,Mangusta,"€49,000 p/week + expenses Approx $56,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, France,, Italy,, Monaco","Calvi, Corsica, French Riviera, Sardinia","€49,000 p/week + expenses Approx $56,000","€56,000 p/week + expenses Approx $64,000","Mediterranean, France,, Italy,, Monaco","Calvi, Corsica, French Riviera, Sardinia","The 28.27m/92'9"" 'Smile' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta.",
SOPHIA,Open Yachts,9,4,4,"1 Master, 1 VIP, 1 Double, 1 Twin",28.1m / 92'2,Pershing Pershing,2023,32 Knots,6.23m / 20'5,1.65m / 5'5,115 GT,Pershing 9X Pershing 9X,Fulvio de Simoni,,"€85,000 p/week + expenses Approx $97,000","€95,000 p/week + expenses Approx $108,500","Mediterranean, Italy","Amalfi Coast, Sardinia","€85,000 p/week + expenses Approx $97,000","€95,000 p/week + expenses Approx $108,500","Mediterranean, Italy","Amalfi Coast, Sardinia","The 28.09m/92'2"" open yacht 'Sophia' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Pershing  she can comfortably accommodate up to 9 guests in 4 cabins.",
ELEVEN I,Open Yachts,9,4,5,"1 Master, 1 VIP, 2 Twin, 1 Pullman",27.61m / 90'7,Italcraft Italcraft,2009 | 2013 (Refitted),25 Knots,6.49m / 21'4,1.1m / 3'7,72 GT,Custom,Galeazzi Design,,"€42,000 p/week + expenses Approx $48,000","€45,000 p/week + expenses Approx $51,500","Mediterranean, Greece,, Turkey",Mykonos,"€42,000 p/week + expenses Approx $48,000","€42,000 p/week + expenses Approx $48,000","Mediterranean, Greece",Mykonos,"The 27.6m/90'7"" 'Eleven I' open yacht built by shipyard Italcraft is available for charter for up to 9 guests in 4 cabins.",
DANZAS,Open Yachts,8,4,3,"2 Master, 2 VIP, 2 Twin",27.51m / 90'3,Pershing Pershing,2007,33 Knots,6.23m / 20'5,1.65m / 5'5,103 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€66,500 p/week + expenses Approx $76,000","€80,000 p/week + expenses Approx $91,000",,"Ibiza, The Balearics","€56,000 p/week + expenses Approx $64,000","€56,000 p/week + expenses Approx $64,000",,"Ibiza, The Balearics",The 27.42m/90' open yacht 'Danzas' by the Italian shipyard Pershing offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Pershing.,
DREAM ON,Open Yachts,6,3,3,"1 Master, 1 VIP, 1 Twin",27.3m / 89'7,Tecnomar Tecnomar,2007 | 2012 (Refitted),25 Knots,6.32m / 20'9,1.52m / 5',57 GT,Custom,,,"€30,000 p/week + expenses Approx $34,000","€33,000 p/week + expenses Approx $37,500","Mediterranean, Croatia,, Montenegro",,"€30,000 p/week + expenses Approx $34,000","€30,000 p/week + expenses Approx $34,000","Mediterranean, Croatia,, Montenegro",,"The 27.7m/90'11"" open yacht 'Dream On' by the Italian shipyard Tecnomar offers flexible accommodation for up to 6 guests in 3 cabins.",
FUNKY TOWN,Open Yachts,9,4,3,"1 Master, 1 VIP, 1 Double, 1 Twin",27.5m / 90'3,Canados Canados,2009 | 2022 (Refitted),32 Knots,6.4m / 21',1.5m / 4'11,84 GT,Canados Open 90 Canados Open 90,"Canados, Luiz de Basto Designs",Luiz de Basto Designs,"€55,300 p/week + expenses Approx $63,000","€67,200 p/week + expenses Approx $76,500",,"Ibiza, The Balearics","€55,300 p/week + expenses Approx $63,000","€67,200 p/week + expenses Approx $76,500",,"Ibiza, The Balearics","The 27.5m/90'3"" 'Funky Town' open yacht built by the Italian shipyard Canados is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by American designer Luiz de Basto Designs.",
INSPIRATION,Open Yachts,8,4,3,,27.42m / 90',Pershing Pershing,2006 | 2019 (Refitted),38 Knots,6.23m / 20'5,1.65m / 5'5,,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€70,000 p/week + expenses Approx $80,000","€84,000 p/week + expenses Approx $96,000",,"Ibiza, Mallorca, The Balearics",,,,,The 27.42m/90' 'Inspiration' open yacht built by the Italian shipyard Pershing is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Pershing.,
MAXIMO,Open Yachts,8,,3,"1 Master, 1 VIP, 2 Twin",27.42m / 90',Pershing Pershing,2007 | 2010 (Refitted),38 Knots,6.23m / 20'5,1.65m / 5'5,,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€44,900 p/week + expenses Approx $51,000","€48,600 p/week + expenses Approx $55,500","Mediterranean, France,, Malta,, Monaco","Amalfi Coast, Calvi, Cannes, Corsica, French Riviera, Ibiza, Ligurian Riviera, Mallorca, Portofino, Sardinia, St Tropez, The Balearics",,,,,The 27.42m/90' 'Maximo' open yacht built by the Italian shipyard Pershing is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Pershing.,
ONE,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin, 2 Pullman",27.43m / 90',Pershing Pershing,2006 | 2024 (Refitted),33 Knots,6.23m / 20'5,1.65m / 5'5,75 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€40,000 p/week + expenses Approx $45,500","€45,000 p/week + expenses Approx $51,500","Mediterranean, Greece",Mykonos,"€40,000 p/week + expenses Approx $45,500","€40,000 p/week + expenses Approx $45,500","Mediterranean, Greece",Mykonos,The 27.42m/90' 'One' open yacht built by the Italian shipyard Pershing is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Pershing.,
REGAL,Open Yachts,7,3,3,"1 Master, 1 VIP, 1 Twin",27.42m / 90',Pershing Pershing,2009 | 2021 (Refitted),38 Knots,6.23m / 20'5,1.65m / 5'5,75 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"$60,000 p/week + expenses","$75,000 p/week + expenses","Caribbean, Bahamas",,"$60,000 p/week + expenses","$75,000 p/week + expenses","Caribbean, Bahamas",,The 27.42m/90' open yacht 'Regal' by the Italian shipyard Pershing offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by Italian designer Pershing.,
THYKE III,Open Yachts,9,4,4,"1 Master, 1 VIP, 1 Double, 1 Twin",27.43m / 90',Pershing Pershing,2008 | 2024 (Refitted),32 Knots,6.23m / 20'5,1.65m / 5'5,79 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€48,000 p/week + expenses Approx $54,500","€58,000 p/week + expenses Approx $66,000","Mediterranean, Italy,, Malta","Amalfi Coast, Calvi, Corsica, Sardinia","€48,000 p/week + expenses Approx $54,500","€58,000 p/week + expenses Approx $66,000","Mediterranean, Italy,, Malta","Amalfi Coast, Calvi, Corsica, Sardinia",The 27.42m/90' open yacht 'Thyke III' by the Italian shipyard Pershing offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Pershing.,
XAMAN,Open Yachts,8,4,4,"1 Master, 1 VIP, 2 Twin",27.43m / 90',Pershing Pershing,2009 | 2018 (Refitted),32 Knots,6.23m / 20'5,1.65m / 5'5,108 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"€59,400 p/week + expenses Approx $67,500","€76,200 p/week + expenses Approx $87,000",,"Ibiza, The Balearics","€59,400 p/week + expenses Approx $67,500","€59,400 p/week + expenses Approx $67,500",,"Ibiza, The Balearics",The 27.42m/90' 'Xaman' open yacht built by the Italian shipyard Pershing is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Pershing.,
YCM 90,Open Yachts,8,4,3,"1 Master, 1 VIP, 2 Twin",27.42m / 90',Pershing Pershing,2007 | 2018 (Refitted),30 Knots,6.23m / 20'5,1.65m / 5'5,79 GT,Pershing 90 Pershing 90,Fulvio de Simoni,Pershing,"$42,000 p/week + expenses","$42,000 p/week + expenses","Caribbean, Bahamas,, Cuba","Florida, Miami","$42,000 p/week + expenses","$42,000 p/week + expenses","Caribbean, Bahamas,, Cuba","Florida, Miami",The 27.42m/90' 'YCM 90' open yacht built by the Italian shipyard Pershing is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Pershing.,
ATRATO,Open Yachts,10,4,4,"1 Master, 1 Double, 2 Twin",27m / 88'7,Leopard Leopard,2001 | 2015 (Refitted),26 Knots,6.05m / 19'10,3.05m / 10',102 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€26,500 p/week + expenses Approx $31,000","€26,500 p/week + expenses Approx $31,000","Mediterranean, Greece",Mykonos,"€26,500 p/week + expenses Approx $31,000","€29,000 p/week + expenses Approx $34,000","Mediterranean, Greece",Mykonos,"The 27.04m/88'9"" open yacht 'Atrato' by shipyard Leopard offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Arno.",
AYA,Open Yachts,6,3,3,"1 Master, 1 VIP, 1 Twin, 1 Pullman",27m / 88'7,Leopard Leopard,2003 | 2009 (Refitted),34 Knots,6.05m / 19'10,1.2m / 3'11,85 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€54,950 p/week + expenses Approx $62,500","€66,150 p/week + expenses Approx $75,500",,"Ibiza, Mallorca, The Balearics","€47,950 p/week + expenses Approx $54,500","€54,950 p/week + expenses Approx $62,500",,"Ibiza, Mallorca, The Balearics","The 27m/88'7"" open yacht 'Aya' by shipyard Leopard offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Arno.",
AYA ONE,Open Yachts,8,4,3,"1 Master, 1 Twin, 2 Pullman",27m / 88'7,Leopard Leopard,2007 | 2022 (Refitted),32 Knots,6.05m / 19'10,1.7m / 5'7,79 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€49,857 p/week + expenses Approx $58,500","€57,852 p/week + expenses Approx $67,500",,"Ibiza, Mallorca, The Balearics","€49,857 p/week + expenses Approx $58,500","€57,852 p/week + expenses Approx $67,500",,,"The 27.5m/90'3"" open yacht 'Aya One' by shipyard Leopard offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Arno.",
BLOOMS,Open Yachts,6,3,3,"1 Master, 1 VIP, 1 Twin",27m / 88'7,Leopard Leopard,2011,32 Knots,6.05m / 19'10,1.35m / 4'5,79 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"€26,500 p/week + expenses Approx $30,000","€31,000 p/week + expenses Approx $35,500","South Pacific, Australia,, Fiji,, New Caledonia","Sydney, Whitsundays","€26,500 p/week + expenses Approx $30,000","€26,500 p/week + expenses Approx $30,000","South Pacific, Australia","Sydney, Whitsundays","The 27m/88'7"" 'Blooms' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Arno.",
CHURRI,Open Yachts,9,4,3,,27m / 88'7,Leopard Leopard,2005,26 Knots,6.05m / 19'10,1.7m / 5'7,95 GT,Leopard 27 Leopard 27,Andrea Bacigalupo,Arno,"$41,400 p/week + expenses","$47,400 p/week + expenses",,,"$51,000 p/week + expenses","$51,000 p/week + expenses",,,"The 27m/88'7"" open yacht 'Churri' by shipyard Leopard offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Arno.",
GOLDEN BOY,Open Yachts,6,3,4,"1 Master, 2 Double",27.1m / 88'11,SEAT Boat SEAT Boat,2011,24 Knots,6.1m / 20',1.3m / 4'3,,Custom Custom,Albatross,,,,,,,,,,"The 27.1m/88'11"" open yacht 'Golden Boy' by shipyard SEAT Boat offers flexible accommodation for up to 6 guests in 3 cabins.",
